,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
541,Vandalism,2011,10/6/2011,11:07:00,10/6/2011,11:07:00,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0
542,Suspected Physical Attack,2011,9/30/2011,08:22:00,9/30/2011,08:22:00,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0
543,Vandalism,2011,9/29/2011,18:44:00,9/30/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,
545,Suspected Physical Attack,2011,9/28/2011,16:41:00,9/28/2011,16:41:00,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0
546,Vandalism,2011,9/28/2011,14:59:00,9/28/2011,14:59:00,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0
547,Vandalism,2011,9/28/2011,09:30:00,9/28/2011,13:00:00,ISO New England/Convex,"Watertown, Connecticut",NPCC,,
548,Vandalism,2011,9/26/2011,10:15:00,9/26/2011,10:15:00,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0
549,Vandalism,2011,9/24/2011,16:17:00,9/25/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,
550,Vandalism,2011,9/23/2011,09:04:00,9/23/2011,09:04:00,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0
551,Vandalism,2011,9/22/2011,14:50:00,9/22/2011,14:51:00,Dayton Power & Light,"Montgomery County, Ohio",RFC,,0
553,Suspected Physical Attack,2011,9/21/2011,10:30:00,9/21/2011,10:30:00,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0
554,Vandalism,2011,9/20/2011,12:55:00,9/20/2011,17:00:00,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,,
555,Vandalism,2011,9/14/2011,09:00:00,9/14/2011,14:00:00,PacifiCorp,"Salt Lake County, Utah",WECC,0,0
556,Vandalism,2011,9/13/2011,14:03:00,9/13/2011,18:21:00,New York Power Authority,"Saranac, New York",NPCC,,0
557,Vandalism,2011,9/13/2011,11:43:00,9/14/2011,16:00:00,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,,
558,Vandalism,2011,9/12/2011,09:15:00,9/12/2011,15:30:00,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0
559,Vandalism,2011,9/8/2011,19:53:00,9/9/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,
561,Actual Physical Attack,2011,9/7/2011,00:08:00,9/7/2011,10:50:00,ISO New England,Western Connecticut; New York,NPCC,0,0
564,Vandalism,2011,9/1/2011,08:13:00,9/1/2011,16:00:00,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,,
565,Suspected Physical Attack,2011,8/31/2011,12:52:00,8/31/2011,12:52:00,Duke Energy,Southwest Ohio,RFC,0,0
566,Suspected Physical Attack,2011,8/28/2011,20:55:00,8/28/2011,23:39:00,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0
590,Suspected Physical Attack,2011,8/25/2011,00:01:00,8/25/2011,00:01:00,Central Maine Power Company,Maine,NPCC,0,0
597,Suspected Physical Attack,2011,8/22/2011,10:05:00,8/22/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,
600,Suspected Physical Attack,2011,8/18/2011,09:51:00,8/18/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,
601,Vandalism,2011,8/15/2011,02:05:00,8/15/2011,03:40:00,PacifiCorp,Utah,WECC,0,0
603,Vandalism,2011,8/9/2011,10:26:00,8/9/2011,17:00:00,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,,
605,Vandalism,2011,8/8/2011,09:35:00,8/8/2011,16:00:00,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,
607,Suspected Physical Attack,2011,8/8/2011,09:30:00,8/8/2011,09:30:00,Dayton Power & Light,"Greene County, Ohio",RFC,0,0
615,Vandalism,2011,8/1/2011,14:18:00,8/1/2011,14:18:00,PacificCorp,"Jefferson, Oregon",WECC,,
616,Vandalism,2011,7/29/2011,11:46:00,7/29/2011,17:00:00,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,,
